balkan_f_11 daesitiates
balkan_f_10 illyria
balkan_f_9 dardania
balkan_f_8 tylis
balkan_f_7 iazyges
balkan_f_6 delmatae
balkan_f_5 daorsi
balkan_f_4 breuci
balkan_f_3 apuli
balkan_f_2 bastarnae
balkan_f_1 ardiaei
belgic_f_11 nervii
belgic_f_10 treverii
belgic_f_9 suessiones
belgic_f_8 remi
belgic_f_7 parisii
belgic_f_6 morini
belgic_f_5 mediomatrici
belgic_f_4 eburones
belgic_f_3 bellovaci
belgic_f_2 belgae
belgic_f_1 atrebates
brit_f_8 catuvellauni
brit_f_7 dumnonii
brit_f_6 demetae
brit_f_5 eblani
brit_f_4 corieltauvi
brit_f_3 cantiaci
brit_f_2 caledonia
brit_f_1 brigantes
desert_f_6 nasamones
desert_f_5 mauri
desert_f_4 massylii
desert_f_3 libya
desert_f_2 garamantes
desert_f_1 gaetuli
arab_f_4 qedar
arab_f_3 nabataea
arab_f_2 minaea
arab_f_1 gerrha
east_f_9 paphlagonia
east_f_8 persia
east_f_7 chorasmia
east_f_6 iberia
east_f_5 colchis
east_f_4 cappadocia
east_f_3 bithynia
east_f_2 atropatene
east_f_1 albania
gallic_f_33 taurini
gallic_f_32 volcae
gallic_f_31 vocontii
gallic_f_30 vivisci
gallic_f_29 vindelici
gallic_f_28 venetigaul
gallic_f_27 unelli
gallic_f_26 turones
gallic_f_25 segusiavi
gallic_f_24 triballi
gallic_f_23 tarbelli
gallic_f_22 elusates
gallic_f_21 sequani
gallic_f_20 scordisci
gallic_f_19 santones
gallic_f_18 ruteni
gallic_f_17 redones
gallic_f_16 lingones
gallic_f_15 pictones
gallic_f_14 osismii
gallic_f_13 nori
gallic_f_12 namnetes
gallic_f_11 mandubii
gallic_f_10 lexovii
gallic_f_9 lemovices
gallic_f_8 helvetii
gallic_f_7 galatia
gallic_f_6 eravisci
gallic_f_5 carnutes
gallic_f_4 cadurci
gallic_f_3 bituriges
gallic_f_2 cavari
gallic_f_1 aedui
germanic_f_37 hermunduri
germanic_f_36 ubii
germanic_f_35 tencteri
germanic_f_34 sugambri
germanic_f_33 sciri
germanic_f_32 bructeri
germanic_f_31 juti
germanic_f_29 geati
germanic_f_28 fosi
germanic_f_27 chauci
germanic_f_26 varini
germanic_f_23 nahanarvali
germanic_f_21 suiones
germanic_f_20 chamavi
germanic_f_19 buri
germanic_f_17 anglii
germanic_f_16 vangiones
germanic_f_15 rugii
germanic_f_14 quadi
germanic_f_13 nemetes
germanic_f_12 marcomanni
germanic_f_11 heruli
germanic_f_10 helveconae
germanic_f_9 helisii
germanic_f_7 frisii
germanic_f_6 cimbri
germanic_f_5 cherusci
germanic_f_3 harii
germanic_f_2 anartes
germanic_f_1 aestii
germanic_f_30 franks
germanic_f_25 vandals
germanic_f_24 saxons
germanic_f_22 lombardi
germanic_f_8 goths
germanic_f_4 alemanni
greek_f_11 acarnania
greek_f_10 heraclea
greek_f_9 bactria
greek_f_8 arcadia
greek_f_7 bosporus
greek_f_6 pergamon
greek_f_5 messene
greek_f_4 sinope
greek_f_3 neapolis
greek_f_2 cyprus
greek_f_1 cyrene
iberian_f_16 vettones
iberian_f_15 vascones
iberian_f_14 vaccaei
iberian_f_13 turdetani
iberian_f_12 oretani
iberian_f_11 celtiberia
iberian_f_10 ilergetes
iberian_f_9 ilercavones
iberian_f_8 gallaeci
iberian_f_7 edetani
iberian_f_6 cessetani
iberian_f_5 celtici
iberian_f_4 carpetani
iberian_f_3 cantabri
iberian_f_2 bastetani
iberian_f_1 astures
italic_f_2 mamertines
italic_f_1 aleria
indian_f_1 india
indian_f_2 chola
indian_f_3 chera
indian_f_4 pandya
indian_f_5 anuradhapura
nuragic_f_3 iolei
nuragic_f_2 corsi
nuragic_f_1 balari
