BALKAN_F_11 DAESITIATES
BALKAN_F_10 ILLYRIA
BALKAN_F_9 DARDANIA
BALKAN_F_8 TYLIS
BALKAN_F_7 IAZYGES
BALKAN_F_6 DELMATAE
BALKAN_F_5 DAORSI
BALKAN_F_4 BREUCI
BALKAN_F_3 APULI
BALKAN_F_2 BASTARNAE
BALKAN_F_1 ARDIAEI
BELGIC_F_11 NERVII
BELGIC_F_10 TREVERII
BELGIC_F_9 SUESSIONES
BELGIC_F_8 REMI
BELGIC_F_7 PARISII
BELGIC_F_6 MORINI
BELGIC_F_5 MEDIOMATRICI
BELGIC_F_4 EBURONES
BELGIC_F_3 BELLOVACI
BELGIC_F_2 BELGAE
BELGIC_F_1 ATREBATES
BRIT_F_8 CATUVELLAUNI
BRIT_F_7 DUMNONII
BRIT_F_6 DEMETAE
BRIT_F_5 EBLANI
BRIT_F_4 CORIELTAUVI
BRIT_F_3 CANTIACI
BRIT_F_2 CALEDONIA
BRIT_F_1 BRIGANTES
DESERT_F_6 NASAMONES
DESERT_F_5 MAURI
DESERT_F_4 MASSYLII
DESERT_F_3 LIBYA
DESERT_F_2 GARAMANTES
DESERT_F_1 GAETULI
ARAB_F_4 QEDAR
ARAB_F_3 NABATAEA
ARAB_F_2 MINAEA
ARAB_F_1 GERRHA
EAST_F_9 PAPHLAGONIA
EAST_F_8 PERSIA
EAST_F_7 CHORASMIA
EAST_F_6 IBERIA
EAST_F_5 COLCHIS
EAST_F_4 CAPPADOCIA
EAST_F_3 BITHYNIA
EAST_F_2 ATROPATENE
EAST_F_1 ALBANIA
GALLIC_F_33 TAURINI
GALLIC_F_32 VOLCAE
GALLIC_F_31 VOCONTII
GALLIC_F_30 VIVISCI
GALLIC_F_29 VINDELICI
GALLIC_F_28 VENETIGAUL
GALLIC_F_27 UNELLI
GALLIC_F_26 TURONES
GALLIC_F_25 SEGUSIAVI
GALLIC_F_24 TRIBALLI
GALLIC_F_23 TARBELLI
GALLIC_F_22 ELUSATES
GALLIC_F_21 SEQUANI
GALLIC_F_20 SCORDISCI
GALLIC_F_19 SANTONES
GALLIC_F_18 RUTENI
GALLIC_F_17 REDONES
GALLIC_F_16 LINGONES
GALLIC_F_15 PICTONES
GALLIC_F_14 OSISMII
GALLIC_F_13 NORI
GALLIC_F_12 NAMNETES
GALLIC_F_11 MANDUBII
GALLIC_F_10 LEXOVII
GALLIC_F_9 LEMOVICES
GALLIC_F_8 HELVETII
GALLIC_F_7 GALATIA
GALLIC_F_6 ERAVISCI
GALLIC_F_5 CARNUTES
GALLIC_F_4 CADURCI
GALLIC_F_3 BITURIGES
GALLIC_F_2 CAVARI
GALLIC_F_1 AEDUI
GERMANIC_F_37 HERMUNDURI
GERMANIC_F_36 UBII
GERMANIC_F_35 TENCTERI
GERMANIC_F_34 SUGAMBRI
GERMANIC_F_33 SCIRI
GERMANIC_F_32 BRUCTERI
GERMANIC_F_31 JUTI
GERMANIC_F_29 GEATI
GERMANIC_F_28 FOSI
GERMANIC_F_27 CHAUCI
GERMANIC_F_26 VARINI
GERMANIC_F_23 NAHANARVALI
GERMANIC_F_21 SUIONES
GERMANIC_F_20 CHAMAVI
GERMANIC_F_19 BURI
GERMANIC_F_17 ANGLII
GERMANIC_F_16 VANGIONES
GERMANIC_F_15 RUGII
GERMANIC_F_14 QUADI
GERMANIC_F_13 NEMETES
GERMANIC_F_12 MARCOMANNI
GERMANIC_F_11 HERULI
GERMANIC_F_10 HELVECONAE
GERMANIC_F_9 HELISII
GERMANIC_F_7 FRISII
GERMANIC_F_6 CIMBRI
GERMANIC_F_5 CHERUSCI
GERMANIC_F_3 HARII
GERMANIC_F_2 ANARTES
GERMANIC_F_1 AESTII
GERMANIC_F_30 FRANKS
GERMANIC_F_25 VANDALS
GERMANIC_F_24 SAXONS
GERMANIC_F_22 LOMBARDI
GERMANIC_F_8 GOTHS
GERMANIC_F_4 ALEMANNI
GREEK_F_11 ACARNANIA
GREEK_F_10 HERACLEA
GREEK_F_9 BACTRIA
GREEK_F_8 ARCADIA
GREEK_F_7 BOSPORUS
GREEK_F_6 PERGAMON
GREEK_F_5 MESSENE
GREEK_F_4 SINOPE
GREEK_F_3 NEAPOLIS
GREEK_F_2 CYPRUS
GREEK_F_1 CYRENE
IBERIAN_F_16 VETTONES
IBERIAN_F_15 VASCONES
IBERIAN_F_14 VACCAEI
IBERIAN_F_13 TURDETANI
IBERIAN_F_12 ORETANI
IBERIAN_F_11 CELTIBERIA
IBERIAN_F_10 ILERGETES
IBERIAN_F_9 ILERCAVONES
IBERIAN_F_8 GALLAECI
IBERIAN_F_7 EDETANI
IBERIAN_F_6 CESSETANI
IBERIAN_F_5 CELTICI
IBERIAN_F_4 CARPETANI
IBERIAN_F_3 CANTABRI
IBERIAN_F_2 BASTETANI
IBERIAN_F_1 ASTURES
ITALIC_F_2 MAMERTINES
ITALIC_F_1 ALERIA
INDIAN_F_1 INDIA
INDIAN_F_2 CHOLA
INDIAN_F_3 CHERA
INDIAN_F_4 PANDYA
INDIAN_F_5 ANURADHAPURA
NURAGIC_F_3 IOLEI
NURAGIC_F_2 CORSI
NURAGIC_F_1 BALARI
