faction_relationships	romans_julii,	600		slave
faction_relationships	romans_brutii,	600		slave
faction_relationships	romans_scipii,	600		slave
faction_relationships	romans_senate,	600		slave
faction_relationships	egypt,			600		slave
faction_relationships	seleucid,		600		slave
faction_relationships	carthage,		600		slave
faction_relationships	parthia,		600		slave
faction_relationships	gauls,			600		slave
faction_relationships	germans,		600		slave
faction_relationships	britons,		600		slave
faction_relationships	greek_cities,	600		slave
faction_relationships	macedon,		600		slave
faction_relationships	pontus,			600		slave
faction_relationships	armenia,		600		slave
faction_relationships	dacia,			600		slave
faction_relationships	numidia,		600		slave
faction_relationships	scythia,		600		slave
faction_relationships	spain,			600		slave
faction_relationships	thrace,			600		slave
faction_relationships	saxons,			600		slave
faction_relationships	ardiaei,		600		slave
faction_relationships	athens,			600		slave
faction_relationships	bactria,		600		slave
faction_relationships	boii,			600		slave
faction_relationships	bosporus,		600		slave
faction_relationships	caledonia,		600		slave
faction_relationships	celtiberia,		600		slave
faction_relationships	colchis,		600		slave
faction_relationships	epirus,			600		slave
faction_relationships	galatia,		600		slave
faction_relationships	kush,			600		slave
faction_relationships	marcomanni,		600		slave
faction_relationships	massagetae,		600		slave
faction_relationships	massalia,		600		slave
faction_relationships	nabataea,		600		slave
faction_relationships	nervii,			600		slave
faction_relationships	pergamon,		600		slave
faction_relationships	saba,			600		slave
faction_relationships	syracuse,		600		slave
faction_relationships	tylis,			600		slave
faction_relationships	veneti,			600		slave
faction_relationships	anuradhapura,	600		slave
faction_relationships	chola,			600		slave
faction_relationships	alemanni,		600		slave
faction_relationships	burgundii,		600		slave
faction_relationships	franks,			600		slave
faction_relationships	goths,			600		slave
faction_relationships	huns,			600		slave
faction_relationships	lombardi,		600		slave
faction_relationships	ostrogoths,		600		slave
faction_relationships	roxolani,		600		slave
faction_relationships	sarmatians,		600		slave
faction_relationships	slavs,			600		slave
faction_relationships	vandals,		600		slave
faction_relationships	persia,			600		slave
faction_relationships	acarnania,		600		slave
faction_relationships	achea,			600		slave
faction_relationships	aedui,			600		slave
faction_relationships	aestii,			600		slave
faction_relationships	aetolia,		600		slave
faction_relationships	agathyrsi,		600		slave
faction_relationships	agyrion,		600		slave
faction_relationships	akragas,		600		slave
faction_relationships	albania,		600		slave
faction_relationships	allobroges,		600		slave
faction_relationships	anartes,		600		slave
faction_relationships	anglii,			600		slave
faction_relationships	aorsi,			600		slave
faction_relationships	apuli,			600		slave
faction_relationships	arcadia,		600		slave
faction_relationships	argos,			600		slave
faction_relationships	etruscans,		600		slave
faction_relationships	astures,		600		slave
faction_relationships	atrebates,		600		slave
faction_relationships	atropatene,		600		slave
faction_relationships	axum,			600		slave
faction_relationships	balari,			600		slave
faction_relationships	bastarnae,		600		slave
faction_relationships	bastetani,		600		slave
faction_relationships	belgae,			600		slave
faction_relationships	bellovaci,		600		slave
faction_relationships	bithynia,		600		slave
faction_relationships	bituriges,		600		slave
faction_relationships	blemmyes,		600		slave
faction_relationships	boetia,			600		slave
faction_relationships	breuci,			600		slave
faction_relationships	brigantes,		600		slave
faction_relationships	bructeri,		600		slave
faction_relationships	brutii,			600		slave
faction_relationships	budini,			600		slave
faction_relationships	buri,			600		slave
faction_relationships	byzantion,		600		slave
faction_relationships	cadurci,		600		slave
faction_relationships	cantabri,		600		slave
